	chembl-id	pot.(log,Ki)	pot.(nMol,Ki)	aromatic_smiles	non_stereo_aromatic_smieles	all-chembl-ids	no.-meas.	pref_name	accession	natoms	core	sub	sub_carbon_replacement	arorings	a_acc	a_don	a_heavy	logP(o/w)	RBC	rings	TPSA	vdw_vol	Weight
362	CHEMBL470609	10.17	0.068	c1cc(ccc1CN2CCC(CC2)Cl)OCCCN3CCCCC3	c1cc(ccc1CN2CCC(CC2)Cl)OCCCN3CCCCC3	CHEMBL470609	1	Histamine H3 receptor	Q9Y5N1	24	c1cc([*:1])ccc1OCCCN1CCCCC1	[1*]CN1CCC(Cl)CC1	CCN1CCC(Cl)CC1	0	1	0	9	1.715	1	1	3.24	163.55115	147.649
363	CHEMBL513193	10.03	0.093776	c1cc(ccc1CN2CCC(CC2)F)OCCCN3CCCCC3	c1cc(ccc1CN2CCC(CC2)F)OCCCN3CCCCC3	CHEMBL513193	3	Histamine H3 receptor	Q9Y5N1	24	c1cc([*:1])ccc1OCCCN1CCCCC1	[1*]CN1CCC(F)CC1	CCN1CCC(F)CC1	0	1	0	9	1.276	1	1	3.24	150.73746	131.194
364	CHEMBL472466	9.7	0.2	c1cc(ccc1CN2CCC(CC2)Br)OCCCN3CCCCC3	c1cc(ccc1CN2CCC(CC2)Br)OCCCN3CCCCC3	CHEMBL472466	1	Histamine H3 receptor	Q9Y5N1	24	c1cc([*:1])ccc1OCCCN1CCCCC1	[1*]CN1CCC(Br)CC1	CCN1CCC(Br)CC1	0	1	0	9	1.921	1	1	3.24	176.58276	192.09999
365	CHEMBL471437	9.55	0.28	c1cc(ccc1CN2CC[C@@H](C2)F)OCCCN3CCCCC3	c1cc(ccc1CN2CCC(C2)F)OCCCN3CCCCC3	CHEMBL471437	1	Histamine H3 receptor	Q9Y5N1	23	c1cc([*:1])ccc1OCCCN1CCCCC1	[1*]CN1CC[C@H](F)C1	CCN1CC[C@H](F)C1	0	1	0	8	0.83399999	1	1	3.24	132.20998	117.167
366	CHEMBL204872	9.3	0.5	CN(C)CCc1ccc(cc1)OCCCN2CCCCC2	CN(C)CCc1ccc(cc1)OCCCN2CCCCC2	CHEMBL204872	1	Histamine H3 receptor	Q9Y5N1	21	c1cc([*:1])ccc1OCCCN1CCCCC1	[1*]CCN(C)C	CCCN(C)C	0	1	0	6	1.122	2	0	3.24	115.58379	87.166
367	CHEMBL2375595	9.27	0.54	C=CCC(CC=C)(c1ccc(cc1)OCCCN2CCCCC2)O	C=CCC(CC=C)(c1ccc(cc1)OCCCN2CCCCC2)O	CHEMBL2375595	1	Histamine H3 receptor	Q9Y5N1	24	c1cc([*:1])ccc1OCCCN1CCCCC1	[1*]C(O)(CC=C)CC=C	CC(O)(CC=C)CC=C	0	1	1	9	1.624	4	0	20.23	163.29469	126.199
368	CHEMBL129306	9.18	0.660664	c1cc(ccc1CN2CCC(CC2)O)OCCCN3CCCCC3	c1cc(ccc1CN2CCC(CC2)O)OCCCN3CCCCC3	CHEMBL129306	2	Histamine H3 receptor	Q9Y5N1	24	c1cc([*:1])ccc1OCCCN1CCCCC1	[1*]CN1CCC(O)CC1	CCN1CCC(O)CC1	0	2	1	9	0.46700001	1	1	23.469999	151.72488	129.203
369	CHEMBL2375594	9.13	0.74	CCCC(CCC)(c1ccc(cc1)OCCCN2CCCCC2)O	CCCC(CCC)(c1ccc(cc1)OCCCN2CCCCC2)O	CHEMBL2375594	1	Histamine H3 receptor	Q9Y5N1	24	c1cc([*:1])ccc1OCCCN1CCCCC1	[1*]C(O)(CCC)CCC	CC(O)(CCC)CCC	0	1	1	9	2.918	4	0	20.23	163.29469	130.231
370	CHEMBL2375597	9.09	0.82	c1cc(ccc1C2(CCCC2)O)OCCCN3CCCCC3	c1cc(ccc1C2(CCCC2)O)OCCCN3CCCCC3	CHEMBL2375597	1	Histamine H3 receptor	Q9Y5N1	22	c1cc([*:1])ccc1OCCCN1CCCCC1	[1*]C1(O)CCCC1	CC1(O)CCCC1	0	1	1	7	1.54	0	1	20.23	118.24537	100.161
371	CHEMBL3238444	9.03	0.9333	Cc1nnc(n1c2ccc(cc2)OCCCN3CCCCC3)C	Cc1nnc(n1c2ccc(cc2)OCCCN3CCCCC3)C	CHEMBL3238444	1	Histamine H3 receptor	Q9Y5N1	23	c1cc([*:1])ccc1OCCCN1CCCCC1	[1*]n1c(C)nnc1C	Cn1c(C)nnc1C	1	2	0	8	0.63099998	0	1	30.709999	131.58287	111.14799
372	CHEMBL1822688	8.85	1.4	c1cc(sc1)c2ccc(cc2)OCCCN3CCCCC3	c1cc(sc1)c2ccc(cc2)OCCCN3CCCCC3	CHEMBL1822688	1	Histamine H3 receptor	Q9Y5N1	21	c1cc([*:1])ccc1OCCCN1CCCCC1	[1*]c1cccs1	Cc1cccs1	1	0	0	6	1.734	0	1	0.0	115.02026	98.168999
373	CHEMBL2375593	8.85	1.4	CCC(CC)(c1ccc(cc1)OCCCN2CCCCC2)O	CCC(CC)(c1ccc(cc1)OCCCN2CCCCC2)O	CHEMBL2375593	1	Histamine H3 receptor	Q9Y5N1	22	c1cc([*:1])ccc1OCCCN1CCCCC1	[1*]C(O)(CC)CC	CC(O)(CC)CC	0	1	1	7	2.0339999	2	0	20.23	126.23975	102.17699
374	CHEMBL1822853	8.8	1.6	c1cc(ccc1C2=CCCC2)OCCCN3CCCCC3	c1cc(ccc1C2=CCCC2)OCCCN3CCCCC3	CHEMBL1822853	1	Histamine H3 receptor	Q9Y5N1	21	c1cc([*:1])ccc1OCCCN1CCCCC1	[1*]C1=CCCC1	CC1=CCCC1	0	0	0	6	2.2693999	0	1	0.0	111.16484	82.145996
375	CHEMBL1824229	8.77	1.7	c1cc(ccc1C2CCC(=O)CC2)OCCCN3CCCCC3	c1cc(ccc1C2CCC(=O)CC2)OCCCN3CCCCC3	CHEMBL1824229	1	Histamine H3 receptor	Q9Y5N1	23	c1cc([*:1])ccc1OCCCN1CCCCC1	[1*]C1CCC(=O)CC1	CC1CCC(=O)CC1	0	1	0	8	1.353	0	1	17.07	136.77284	112.172
376	CHEMBL1822850	8.74	1.8	Cn1c(ccn1)c2ccc(cc2)OCCCN3CCCCC3	Cn1c(ccn1)c2ccc(cc2)OCCCN3CCCCC3	CHEMBL1822850	1	Histamine H3 receptor	Q9Y5N1	22	c1cc([*:1])ccc1OCCCN1CCCCC1	[1*]c1ccnn1C	Cc1ccnn1C	1	1	0	7	0.142	0	1	17.82	119.18011	96.132996
377	CHEMBL2375588	8.72	1.9	c1cc(ccc1CC2CCC(CC2)O)OCCCN3CCCCC3	c1cc(ccc1CC2CCC(CC2)O)OCCCN3CCCCC3	CHEMBL2375588	1	Histamine H3 receptor	Q9Y5N1	24	c1cc([*:1])ccc1OCCCN1CCCCC1	[1*]CC1CCC(O)CC1	CCC1CCC(O)CC1	0	1	1	9	2.375	1	1	20.23	155.30031	128.215
